date,value
"2015-07-31",2.70089
"2015-08-01",4.54884
"2015-08-02",5.94845
"2015-08-03",5.61553
"2015-08-04",9.51734
"2015-08-05",13.19417
"2015-08-06",8.881334687
"2015-08-07",6.084814679
"2015-08-08",6.556216113
"2015-08-09",9.202569967
"2015-08-10",4.161433051
"2015-08-11",2.308179233
"2015-08-12",4.205408836
"2015-08-13",2.710854189
"2015-08-14",5.524421402
"2015-08-15",2.299499997
"2015-08-16",0.488878312
"2015-08-17",0.411593775
"2015-08-18",5.638817069
"2015-08-19",5.884936569
"2015-08-20",4.449015882
"2015-08-21",6.895405138
"2015-08-22",4.405420792
"2015-08-23",1.042252047
"2015-08-24",5.908947510
"2015-08-25",5.749055399
"2015-08-26",3.776524629
"2015-08-27",6.305946478
"2015-08-28",5.930071421
"2015-08-29",6.119198942
"2015-08-30",1.91563962
"2015-08-31",4.139516319
"2015-09-01",3.458181207
"2015-09-02",5.204528477
"2015-09-03",3.845712572
"2015-09-04",7.089780876
"2015-09-05",4.23293860
"2015-09-06",3.086705262
"2015-09-07",3.166313205
"2015-09-08",6.963353858
"2015-09-09",4.533929780
"2015-09-10",0.870053137
"2015-09-11",4.453568380
"2015-09-12",5.840290835
"2015-09-13",0.955602717
"2015-09-14",5.029187327
"2015-09-15",7.635647785
"2015-09-16",4.00499128
"2015-09-17",3.519526417
"2015-09-18",4.275800427
"2015-09-19",5.029481347
"2015-09-20",3.147369535
"2015-09-21",2.086707844
"2015-09-22",2.265229366
"2015-09-23",3.073589706
"2015-09-24",2.943120074
"2015-09-25",5.968928913
"2015-09-26",4.060580133
"2015-09-27",2.497040812
"2015-09-28",4.954664733
"2015-09-29",2.91420374
"2015-09-30",2.531913157
"2015-10-01",4.016267062
"2015-10-02",5.795961163
"2015-10-03",3.74681783
"2015-10-04",4.030576795
"2015-10-05",4.62113672
"2015-10-06",2.644495314
"2015-10-07",3.59221981
"2015-10-08",5.576837699
"2015-10-09",6.10961785
"2015-10-10",5.987206675
"2015-10-11",3.766889968
"2015-10-12",3.678662653
"2015-10-13",4.070923487
"2015-10-14",1.772900173
"2015-10-15",4.44048268
"2015-10-16",5.575503045
"2015-10-17",8.059841354
"2015-10-18",4.597259951
"2015-10-19",2.769569500
"2015-10-20",3.119822283
"2015-10-21",8.603926861
"2015-10-22",4.153465789
"2015-10-23",5.645974566
"2015-10-24",7.370695229
