day,hour,value
0,0,10.332371322
0,1,7.899452097
0,2,5.24677178
0,3,5.858552253
0,4,6.76090627
0,5,4.85321024
0,6,2.285077308
0,7,0.1755988
0,8,2.64232345
0,9,6.512998238
0,10,18.968759340
0,11,14.0260672827
0,12,21.823760726
0,13,26.429140581
0,14,13.176591056
0,15,16.192352462
0,16,14.894911791
0,17,14.248152135
0,18,15.041923762
0,19,12.743305720
0,20,16.007589228
0,21,14.496899097
0,22,7.080975758
0,23,5.348799029
1,0,3.095762949
1,1,0.95141822
1,2,0.48115083
1,3,0.5915927
1,4,0.87331273
1,5,0.28810959
1,6,0.507447076
1,7,1.49981869
1,8,14.172256936
1,9,38.062505439
1,10,11.593963792
1,11,12.758649432
1,12,13.642828127
1,13,32.781619852
1,14,20.776035824
1,15,24.487614452
1,16,18.268320384
1,17,13.788112511
1,18,21.842770016
1,19,34.420773059
1,20,30.061163799
1,21,27.554086947
1,22,25.942290933
1,23,10.001364334
2,0,4.527159455
2,1,0.635229005
2,2,0.0196859
2,3,0.000392236
2,4,0.00117671
2,5,0.037543602
2,6,0.25897056
2,7,3.260817725
2,8,18.180716759
2,9,26.811361273
2,10,24.393707294
2,11,19.873920423
2,12,24.300002742
2,13,33.217633536
2,14,28.644428007
2,15,23.029661768
2,16,25.246169594
2,17,19.435265632
2,18,20.626335593
2,19,12.5367339523
2,20,17.284705472
2,21,25.765788012
2,22,22.465631153
2,23,10.537700420
3,0,7.322192802
3,1,1.83939225
3,2,2.7938662
3,3,0.05737
3,5,0.00686351
3,6,0.248303765
3,7,2.110071124
3,8,11.475592158
3,9,20.809630630
3,10,29.785549341
3,11,28.841227791
3,12,26.159092498
3,13,40.273458311
3,14,26.923370359
3,15,15.222904796
3,16,17.6115223777
3,17,16.7342204477
3,18,25.308296758
3,19,18.653289371
3,20,29.429633696
3,21,41.483757022
3,22,16.771295134
3,23,7.251603123
4,0,3.652403315
4,1,0.499809045
4,2,0.383368701
4,3,0.0356465
4,4,0.0128699
4,5,0.0433809
4,6,0.3947168
4,7,1.42571537
4,8,14.061097511
4,9,24.372688881
4,10,41.972701294
4,11,27.831126105
4,12,19.010874864
4,13,39.937069192
4,14,59.607759783
4,15,30.415104922
4,16,23.203975620
4,17,13.687658996
4,18,15.993129324
4,19,19.622571725
4,20,30.526771496
4,21,33.852933627
4,22,23.264214087
4,23,7.869330806
5,0,4.550924127
5,1,1.974331647
5,2,0.807073427
5,3,0.111491031
5,5,0.0216218
5,6,0.15191686
5,7,1.518749977
5,8,13.370193807
5,9,29.921459585
5,10,29.936313733
5,11,31.988466740
5,12,25.495966736
5,13,38.301740773
5,14,18.280349819
5,15,21.968919436
5,16,26.253789317
5,17,29.185586686
5,18,23.829923241
5,19,29.697978102
5,20,35.980890811
5,21,29.714485773
5,22,12.475717661
5,23,8.983412885
6,0,9.227046556
6,1,5.260082126
6,2,4.227500557
6,3,4.010064917
6,4,6.835259181
6,5,3.247182289
6,6,2.58206048
6,7,3.628131359
6,8,7.825389102
6,9,16.853744877
6,10,13.648713421
6,11,17.436866990
6,12,25.570697460
6,13,22.567891135
6,14,21.776517018
6,15,19.490114382
6,16,20.470635333
6,17,17.783355799
6,18,19.863273375
6,19,16.758623584
6,20,18.240552137
6,21,16.941909442
6,22,7.001119238
6,23,5.391421653
