day,hour,value
0,0,14280
0,1,11319
0,2,8644
0,3,9078
0,4,9728
0,5,6916
0,6,3146
0,7,239
0,8,3446
0,9,9258
0,10,29781
0,11,22162
0,12,34031
0,13,40439
0,14,21303
0,15,25932
0,16,22726
0,17,21699
0,18,22825
0,19,19762
0,20,23193
0,21,21453
0,22,10889
0,23,8139
1,0,4796
1,1,1614
1,2,848
1,3,1055
1,4,1414
1,5,585
1,6,821
1,7,2407
1,8,19089
1,9,49230
1,10,17210
1,11,18948
1,12,20184
1,13,47279
1,14,30532
1,15,36233
1,16,27819
1,17,21188
1,18,32690
1,19,50900
1,20,43507
1,21,39797
1,22,38165
1,23,15290
2,0,6684
2,1,895
2,2,45
2,4,2
2,5,67
2,6,414
2,7,4871
2,8,23733
2,9,37804
2,10,34608
2,11,28835
2,12,35382
2,13,47170
2,14,41325
2,15,33261
2,16,37345
2,17,30380
2,18,30604
2,19,18282
2,20,24511
2,21,37926
2,22,33159
2,23,15924
3,0,11184
3,1,2827
3,2,3657
3,3,68
3,5,12
3,6,346
3,7,3115
3,8,15575
3,9,29998
3,10,43102
3,11,40762
3,12,37823
3,13,58199
3,14,39342
3,15,22333
3,16,27111
3,17,26062
3,18,38631
3,19,27317
3,20,42342
3,21,60936
3,22,25138
3,23,11627
4,0,5805
4,1,795
4,2,497
4,3,50
4,4,19
4,5,62
4,6,643
4,7,2227
4,8,19394
4,9,32977
4,10,59920
4,11,38966
4,12,28700
4,13,57976
4,14,86867
4,15,44568
4,16,33621
4,17,19797
4,18,24270
4,19,28476
4,20,44690
4,21,49794
4,22,35670
4,23,12006
5,0,6853
5,1,2845
5,2,1199
5,3,180
5,5,31
5,6,234
5,7,2078
5,8,17569
5,9,41119
5,10,41725
5,11,46214
5,12,37407
5,13,54003
5,14,27739
5,15,31705
5,16,37553
5,17,43381
5,18,34486
5,19,43582
5,20,52117
5,21,43647
5,22,18691
5,23,13635
6,0,14490
6,1,7997
6,2,7032
6,3,6551
6,4,10778
6,5,4881
6,6,3788
6,7,4697
6,8,10295
6,9,23119
6,10,20705
6,11,25077
6,12,36567
6,13,32713
6,14,31655
6,15,28709
6,16,31300
6,17,25605
6,18,28762
6,19,25342
6,20,28720
6,21,25028
6,22,10934
6,23,8045
