date,value
"2015-07-31",3112
"2015-08-01",6407
"2015-08-02",8050
"2015-08-03",6794
"2015-08-04",12356
"2015-08-05",17707
"2015-08-06",10710
"2015-08-07",7756
"2015-08-08",8172
"2015-08-09",10851
"2015-08-10",6000
"2015-08-11",3475
"2015-08-12",6271
"2015-08-13",3757
"2015-08-14",7304
"2015-08-15",2818
"2015-08-16",538
"2015-08-17",548
"2015-08-18",7635
"2015-08-19",8582
"2015-08-20",6256
"2015-08-21",9011
"2015-08-22",5580
"2015-08-23",1400
"2015-08-24",8717
"2015-08-25",7727
"2015-08-26",5592
"2015-08-27",8418
"2015-08-28",8168
"2015-08-29",8561
"2015-08-30",2636
"2015-08-31",5645
"2015-09-01",4588
"2015-09-02",7295
"2015-09-03",5008
"2015-09-04",9236
"2015-09-05",5271
"2015-09-06",3985
"2015-09-07",4192
"2015-09-08",8717
"2015-09-09",6664
"2015-09-10",1242
"2015-09-11",6026
"2015-09-12",7525
"2015-09-13",1239
"2015-09-14",7560
"2015-09-15",8864
"2015-09-16",5386
"2015-09-17",4816
"2015-09-18",5899
"2015-09-19",6706
"2015-09-20",4426
"2015-09-21",2689
"2015-09-22",2674
"2015-09-23",4076
"2015-09-24",4074
"2015-09-25",8648
"2015-09-26",5230
"2015-09-27",3360
"2015-09-28",6490
"2015-09-29",4010
"2015-09-30",3656
"2015-10-01",5745
"2015-10-02",8186
"2015-10-03",5025
"2015-10-04",4964
"2015-10-05",6716
"2015-10-06",3583
"2015-10-07",5114
"2015-10-08",8421
"2015-10-09",8299
"2015-10-10",8047
"2015-10-11",4968
"2015-10-12",5446
"2015-10-13",5293
"2015-10-14",2503
"2015-10-15",5902
"2015-10-16",7595
"2015-10-17",11434
"2015-10-18",6565
"2015-10-19",3943
"2015-10-20",4615
"2015-10-21",12953
"2015-10-22",5909
"2015-10-23",8254
"2015-10-24",9656
"2015-10-25",3002
"2015-10-26",6353
"2015-10-27",5815
"2015-10-28",5346
"2015-10-29",6849
"2015-10-30",5900
"2015-10-31",11393
"2015-11-01",4009
"2015-11-02",6699
"2015-11-03",11468
"2015-11-04",7651
"2015-11-05",7965
"2015-11-06",6359
"2015-11-07",7461
"2015-11-08",3709
"2015-11-09",10487
"2015-11-10",2821
"2015-11-11",6500
"2015-11-12",8847
"2015-11-13",8129
"2015-11-14",6654
"2015-11-15",5021
"2015-11-16",7221
"2015-11-17",660
"2015-11-18",6336
"2015-11-19",2359
"2015-11-20",6543
"2015-11-21",418
"2015-11-22",2798
"2015-11-23",8039
"2015-11-24",2368
"2015-11-25",3683
"2015-11-26",6076
"2015-11-27",2793
"2015-11-28",2240
"2015-11-29",7092
"2015-11-30",8223
"2015-12-01",1022
"2015-12-02",7812
"2015-12-03",940
"2015-12-04",1418
"2015-12-05",4735
"2015-12-06",4217
"2015-12-07",6507
"2015-12-08",4467
"2015-12-09",6749
"2015-12-10",2089
"2015-12-11",8100
"2015-12-12",4548
"2015-12-13",705
"2015-12-14",1189
"2015-12-15",9755
"2015-12-16",3714
"2015-12-17",5652
"2015-12-18",5961
"2015-12-19",4977
"2015-12-20",3725
"2015-12-21",3170
"2015-12-22",3211
"2015-12-23",5643
"2015-12-24",6391
"2015-12-25",7289
"2015-12-26",3516
"2015-12-27",8238
"2015-12-28",5985
"2015-12-29",4953
"2015-12-30",7747
"2015-12-31",6676
"2016-01-01",3208
"2016-01-02",3212
"2016-01-03",3522
"2016-01-04",4286
"2016-01-05",7410
"2016-01-06",6773
"2016-01-07",6747
"2016-01-08",9293
"2016-01-09",7208
"2016-01-10",4717
"2016-01-11",11841
"2016-01-12",6336
"2016-01-13",7760
"2016-01-14",6780
"2016-01-15",13252
"2016-01-16",5966
"2016-01-17",5403
"2016-01-18",4860
"2016-01-19",10066
"2016-01-20",6568
"2016-01-21",2072
"2016-01-22",6319
"2016-01-23",3238
"2016-01-24",1505
"2016-01-25",11393
"2016-01-26",10566
"2016-01-27",4372
"2016-01-28",10765
"2016-01-29",6269
"2016-01-30",5166
"2016-01-31",5717
"2016-02-01",2449
"2016-02-02",4964
"2016-02-03",20530
"2016-02-04",9877
"2016-02-05",4734
"2016-02-06",3973
"2016-02-07",2924
"2016-02-08",5020
"2016-02-09",3611
"2016-02-10",4004
"2016-02-11",3660
"2016-02-12",4025
"2016-02-13",5253
"2016-02-14",10310
"2016-02-15",1947
"2016-02-16",3006
"2016-02-17",3282
"2016-02-18",6226
"2016-02-19",5913
"2016-02-20",3862
"2016-02-21",5983
"2016-02-22",2344
"2016-02-23",2130
"2016-02-24",2387
"2016-02-25",3073
"2016-02-26",5405
"2016-02-27",4495
"2016-02-28",2650
"2016-02-29",3883
"2016-03-01",2947
"2016-03-02",5543
"2016-03-03",4806
"2016-03-04",3014
"2016-03-05",3781
"2016-03-06",3170
"2016-03-07",10925
"2016-03-08",11352
"2016-03-09",8386
"2016-03-10",6038
"2016-03-11",4368
"2016-03-12",2430
"2016-03-13",551
"2016-03-14",4007
"2016-03-15",6285
"2016-03-16",10330
"2016-03-17",7687
"2016-03-18",6134
"2016-03-19",4427
"2016-03-20",359
"2016-03-21",4703
"2016-03-22",5476
"2016-03-23",6132
"2016-03-24",2443
"2016-03-25",2284
"2016-03-26",2891
"2016-03-27",5585
"2016-03-28",7562
"2016-03-29",5783
"2016-03-30",8914
"2016-03-31",8840
"2016-04-01",6748
"2016-04-02",2587
"2016-04-03",3699
"2016-04-04",4434
"2016-04-05",8906
"2016-04-06",9898
"2016-04-07",9218
"2016-04-08",11071
"2016-04-09",6339
"2016-04-10",2055
"2016-04-11",8814
"2016-04-12",11144
"2016-04-13",5879
"2016-04-14",10434
"2016-04-15",4460
"2016-04-16",1343
"2016-04-17",1778
"2016-04-18",4269
"2016-04-19",2964
"2016-04-20",9875
"2016-04-21",7839
"2016-04-22",1051
"2016-04-23",1183
"2016-04-24",964
"2016-04-25",3935
"2016-04-26",4097
"2016-04-27",6989
"2016-04-28",5335
"2016-04-29",10396
"2016-04-30",11186
"2016-05-01",5070
"2016-05-02",5728
"2016-05-03",3099
"2016-05-04",5155
"2016-05-05",11360
"2016-05-06",1070
"2016-05-07",4681
"2016-05-08",2004
"2016-05-09",4321
"2016-05-10",3987
"2016-05-11",9142
"2016-05-12",8073
"2016-05-13",6043
"2016-05-14",8528
"2016-05-15",5906
"2016-05-16",5489
"2016-05-17",4403
"2016-05-18",4799
"2016-05-19",8272
"2016-05-20",5475
"2016-05-21",3562
"2016-05-22",2330
"2016-05-23",7903
"2016-05-24",4389
"2016-05-25",6504
"2016-05-26",7752
"2016-05-27",6636
"2016-05-28",383
"2016-05-29",670
"2016-05-30",6552
"2016-05-31",4909
"2016-06-01",6234
"2016-06-02",8527
"2016-06-03",3503
"2016-06-04",2303
"2016-06-05",2953
"2016-06-06",7993
"2016-06-07",9218
"2016-06-08",3689
"2016-06-09",7087
"2016-06-10",9605
"2016-06-11",806
"2016-06-12",1499
"2016-06-13",11372
"2016-06-14",6039
"2016-06-15",5881
"2016-06-16",5485
"2016-06-17",1009
"2016-06-18",7529
"2016-06-19",8472
"2016-06-20",965
"2016-06-21",4384
"2016-06-22",1365
"2016-06-23",6585
"2016-06-24",8806
"2016-06-25",4571
"2016-06-26",968
"2016-06-27",6670
"2016-06-28",4577
"2016-06-29",6031
"2016-06-30",13437
"2016-07-01",8613
"2016-07-02",810
"2016-07-03",5836
"2016-07-04",6623
"2016-07-05",10092
"2016-07-06",8933
"2016-07-07",7422
"2016-07-08",7615
"2016-07-09",1674
"2016-07-10",2505
"2016-07-11",6039
"2016-07-12",7872
"2016-07-13",10681
"2016-07-14",7308
"2016-07-15",2441
"2016-07-16",5726
"2016-07-17",1294
"2016-07-18",5340
"2016-07-19",5341
"2016-07-20",5648
"2016-07-21",6814
"2016-07-22",8573
"2016-07-23",7027
"2016-07-24",5259
"2016-07-25",4217
"2016-07-26",6033
"2016-07-27",4700
"2016-07-28",8624
"2016-07-29",6324
"2016-07-30",8479
"2016-07-31",6493
"2016-08-01",7957
"2016-08-02",5800
"2016-08-03",5136
"2016-08-04",6764
"2016-08-05",4629
"2016-08-06",8529
"2016-08-07",9805
"2016-08-08",3440
"2016-08-09",14237
"2016-08-10",2339
"2016-08-11",4573
"2016-08-12",12852
"2016-08-13",7374
"2016-08-14",6466
"2016-08-15",1719
"2016-08-16",10615
"2016-08-17",4964
"2016-08-18",8470
"2016-08-19",7042
"2016-08-20",4863
"2016-08-21",9705
"2016-08-22",7278
"2016-08-23",5872
"2016-08-24",10221
"2016-08-25",8872
"2016-08-26",11305
"2016-08-27",3930
"2016-08-28",12291
"2016-08-29",7684
"2016-08-30",11805
"2016-08-31",6775
"2016-09-01",6521
"2016-09-02",8033
"2016-09-03",3253
"2016-09-04",8325
"2016-09-05",7218
"2016-09-06",4692
"2016-09-07",3678
"2016-09-08",8566
"2016-09-09",6250
"2016-09-10",2439
"2016-09-11",2909
"2016-09-12",3110
"2016-09-13",3968
"2016-09-14",1585
"2016-09-15",13840
"2016-09-16",7771
"2016-09-17",7524
"2016-09-18",1160
"2016-09-19",6908
"2016-09-20",4465
"2016-09-21",1428
"2016-09-22",8104
"2016-09-23",7218
"2016-09-24",3044
"2016-09-25",4050
"2016-09-26",7129
"2016-09-27",7431
"2016-09-28",6669
"2016-09-29",11993
"2016-09-30",2230
"2016-10-01",8707
"2016-10-02",4525
"2016-10-03",6993
"2016-10-04",4752
"2016-10-05",8705
"2016-10-06",8710
"2016-10-07",8063
"2016-10-08",3399
"2016-10-09",5025
"2016-10-10",5466
"2016-10-11",6170
"2016-10-12",15076
"2016-10-13",10695
"2016-10-14",11411
"2016-10-15",899
"2016-10-16",8688
"2016-10-17",8243
"2016-10-18",2998
"2016-10-19",5376
"2016-10-20",6497
"2016-10-21",6406
"2016-10-22",6763
"2016-10-23",7615
"2016-10-24",3364
"2016-10-25",3876
"2016-10-26",5012
"2016-10-27",10250
"2016-10-28",8094
"2016-10-29",4820
"2016-10-30",9270
"2016-10-31",8283
"2016-11-01",5460
"2016-11-02",5006
"2016-11-03",7304
"2016-11-04",10241
"2016-11-05",6901
"2016-11-06",6644
"2016-11-07",8445
"2016-11-08",12915
"2016-11-09",4200
"2016-11-10",8076
"2016-11-11",1865
"2016-11-12",1533
"2016-11-13",760
"2016-11-14",3208
"2016-11-15",1605
"2016-11-16",5721
"2016-11-17",6082
"2016-11-18",11986
"2016-11-19",1519
"2016-11-20",1981
"2016-11-21",2925
"2016-11-22",3553
"2016-11-23",3842
"2016-11-24",575
"2016-11-25",5089
"2016-11-26",3064
"2016-11-27",3339
"2016-11-28",5702
"2016-11-29",7809
"2016-11-30",3554
"2016-12-01",4699
"2016-12-02",6666
"2016-12-03",3684
"2016-12-04",4015
"2016-12-05",4848
"2016-12-06",4897
"2016-12-07",9037
"2016-12-08",4588
"2016-12-09",1345
"2016-12-10",1092
"2016-12-11",426
"2016-12-12",2852
"2016-12-13",9238
"2016-12-14",4575
"2016-12-15",10273
"2016-12-16",11732
"2016-12-17",3890
"2016-12-18",3979
"2016-12-19",7216
"2016-12-20",5203
"2016-12-21",6799
"2016-12-22",1495
"2016-12-23",2413
"2016-12-24",6691
"2016-12-25",5797
"2016-12-26",9347
"2016-12-27",6223
"2016-12-28",2157
"2016-12-29",2984
"2016-12-30",3047
"2016-12-31",2262
"2017-01-01",11764
"2017-01-02",6903
"2017-01-03",3908
"2017-01-04",7261
"2017-01-05",9966
"2017-01-06",11397
"2017-01-07",6558
"2017-01-08",6296
"2017-01-09",5577
"2017-01-10",8616
"2017-01-11",10615
"2017-01-12",3887
"2017-01-13",4240
"2017-01-14",7013
"2017-01-15",3950
"2017-01-16",9979
"2017-01-17",4037
"2017-01-18",3581
"2017-01-19",2743
"2017-01-20",6373
"2017-01-21",3521
"2017-01-22",4574
"2017-01-23",5543
"2017-01-24",5105
"2017-01-25",9814
"2017-01-26",7194
"2017-01-27",7541
"2017-01-28",4813
"2017-01-29",1879
"2017-01-30",4834
"2017-01-31",4102
"2017-02-01",8171
"2017-02-02",4476
"2017-02-03",5260
